e,rain,1403,46,2276,724,1428,124
c,rain,6617,106,10198,2843,6722,633
c,rain,4903,106,7720,2154,5261,305
b,rain,442,18,714,259,431,24
a,rain,352,35,789,312,446,31
g,rain,827,18,1080,311,701,68
